,district,HouseType,Building,Object status,Location of the house,Object location,House type,The floor,Usable area,Land area,Parking,Year of reconstruction,Water,Transport,Energy efficiency of the building,Equipment,Lift,companyName,proximityIndex,Index,Built-up area,Store,Garage,Gas,Garden area,Year of approval,Swimming pool,Cena,Floor area,Indicator of energy efficiency of the building,Certificate of energy performance of the building,Barrier-free,Ceiling height,Housing costs,Number of flats,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,The date of the 1st inspection,The date of the 2nd inspection,Auction decree,Expert opinion.1,Pool area,Condition,Date of completion of construction,Soil construction,Sale start date,Inspection date,Inspection date to,Minimum purchase price,Share size,Number of owners,locationLat,locationLong,price,lokální plynové,heating_unknown,ústřední plynové,lokální tuhá paliva,jiné,lokální elektrické,ústřední tuhá paliva,ústřední elektrické,ústřední dálkové,podlahové,veřejná kanalizace,jímka,čov pro celý objekt,septik,garbage_unknown,trativod,230v,400v,electricity_unknown,120v,telecommunication_unknown,telefon,internet,kabelové rozvody,satelit,kabelová televize,ostatní,communication_unknown,asfaltová,neupravená,dlážděná,betonová,zpevněná,šotolina,štěrková,provize,právního,dph,poplatků,cena k jednání
6833,praha-9,"vily
",Cihlová,Po rekonstrukci,Samostatný,,Přízemní,1,450,776.0,6.0,,Dálkový vodovod,"Vlak, Silnice, MHD, Autobus",Třída E - Nehospodárná č. 264/2020 Sb. podle vyhlášky,1,,"Roltin s.r.o.– Qara, s.r.o.",989.3,7061,177.0,1,1.0,,599.0,,,,300.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.1105638,14.6098476,23000000,,,True,,,,,,,,True,,,,,,True,True,,,,True,True,True,True,,,,,,,,True,True,True,True,True,,,
3069,benesov,"rodinne-domy
",Cihlová,Novostavba,Samostatný,Klidná část obce,Přízemní,1,142,877.0,3.0,,Dálkový vodovod,"Silnice, Autobus",Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,Částečně,0.0,M&M reality,618.8666666666667,3158,,,,,,,,,,"90,0 kWh/m^2 za rok",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,49.8592553,14.6981901,16999999,,,,,True,,,,,,True,,,,,,True,,,True,True,,,,,,,True,,,,,,,,,,,,
10692,trutnov,"rodinne-domy
",Smíšená,Velmi dobrý,,,Patrový,,231,79.0,,,,,,,,Sofix s.r.o.,2274.0,11037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4513129,15.904787,2490000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
8511,jihlava,"rodinne-domy
",Smíšená,Ve výstavbě,Rohový,,Patrový,2,400,655.0,1.0,,,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0,,RE/MAX Well 2,1607.6666666666667,8802,300.0,1,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2360777,15.6051608,2200000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,True,True,,True,
11382,liberec,"rodinne-domy
",Smíšená,Dobrý,,,Patrový,,200,178.0,,,,,,,,OLYMP - realitní kancelář,677.5625,11752,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7657554,14.7614324,3650000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
2306,louny,"zemedelske-usedlosti
",Cihlová,Dobrý,Samostatný,Klidná část obce,Přízemní,2 včetně 1 podzemního,407,1525.0,2.0,1985.0,Místní zdroj,"Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,1,0.0,M&M reality,3185.2,2359,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,50.3087437,13.4939023,3600000,,,,True,,True,,,,,,,,True,,,True,,,True,,,True,,,,,True,,,,,,,,True,,,,
13945,kromeriz,"rodinne-domy
",Smíšená,Velmi dobrý,Řadový,Centrum obce,Patrový,2,171,439.0,1.0,,Dálkový vodovod,Silnice,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Částečně,0.0,M&M reality,2572.470588235294,14413,,,1.0,,,,,,,"494,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,,,,,,,49.3615187,17.5643639,2500000,,,,True,,,,,,,,True,,True,,,,True,,,True,,,,,,,True,,,,,,,,True,,,,
8665,pelhrimov,"rodinne-domy
",Cihlová,Dobrý,Řadový,Centrum obce,Patrový,2,212,693.0,,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0,,RE/MAX Well 2,2794.25,8957,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.306928,15.2763979,3990000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
6746,praha-9,"rodinne-domy
",Cihlová,Po rekonstrukci,V bloku,,Patrový,2,110,139.0,1.0,,"Dálkový vodovod, Studna","Vlak, Silnice, MHD, Autobus",Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Částečně,,QARA s.r.o.,1230.7142857142858,6971,76.0,1,,Plynovod,63.0,,,,110.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.1300089,14.5460364,10999000,,,True,,,,,,,,True,,,,,,True,True,,,,True,True,,,,,,,,True,,,,,,,,,
7561,jindrichuv-hradec,"chalupy
",Smíšená,V rekonstrukci,V bloku,Klidná část obce,Patrový,2 včetně 1 podzemního,86,136.0,,,Dálkový vodovod,"Silnice, Autobus",,Částečně,0.0,JAN Reality,2043.8461538461536,7825,,12 m2,,,363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.18173125,15.295240346095888,984000,,,,True,,,,,,,,,,,,True,True,True,,,True,,,,,,,,True,,,,,,,True,True,True,True,
4340,melnik,"rodinne-domy
",Montovaná,Novostavba,Samostatný,Okraj obce,Přízemní,1,110,966.0,,,Dálkový vodovod,"Vlak, Dálnice, MHD",Třída D - Méně úsporná č. 264/2020 Sb. podle vyhlášky,,,Reality a finance bez-starostí,960.5882352941176,4464,,,,Plynovod,,,,,,"124,0 kWh/m^2 za rok",Zobrazit průkaz energetické náročnosti budovy,,,,,,,,,,,,,,,,,,,,,,,,,,50.2325625,14.3023589,13990000,,,True,,,,,,,,True,,,,,,True,True,,,,,,,,True,,,True,,,,,,,True,True,,,
8500,jihlava,"rodinne-domy
",Cihlová,Dobrý,Rohový,Klidná část obce,Patrový,3 včetně 1 podzemního,206,720.0,1.0,,Dálkový vodovod,"Vlak, Dálnice, MHD, Autobus",Třída G - Mimořádně nehospodárná,,,Reality ČR Karel Papoušek,750.0,8791,131.0,1,1.0,Plynovod,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,49.396064,15.5903065,9800000,,True,,,,,,,,,True,,,,,,True,True,,,,True,True,True,True,True,,True,,,,,,,,,,,,
8283,havlickuv-brod,"rodinne-domy
",Cihlová,Velmi dobrý,,,Patrový,3,210,2055.0,1.0,,"Dálkový vodovod, Studna","Silnice, Autobus",Třída G - Mimořádně nehospodárná,,,Realitní kancelář MAXEN,2388.1428571428573,8572,,1,1.0,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.80940735,15.528849940572208,4950000,,,,,,,True,,,,True,,,,,,True,True,,,True,,,,,,,,True,,,,,,,,,,,
3983,kolin,"rodinne-domy
",Cihlová,Ve výstavbě,V bloku,Klidná část obce,Patrový,2,150,700.0,1.0,,Dálkový vodovod,,Třída B - Velmi úsporná,,,RK PRINC,1610.3333333333333,4097,110.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,49.95723855,15.080748941050494,6250000,,True,,,,,,,,,True,,,,,,True,,,,True,,,,,,,True,,,,,,,,,,,,
222,karlovy-vary,"rodinne-domy
",Cihlová,Před rekonstrukcí,V bloku,Klidná část obce,Patrový,2,243,556.0,,,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Částečně,,RE/MAX Glorion Karlovy Vary,1088.5263157894738,225,224.0,,,Individuální,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2231987,12.8303665,5299000,,,,,,,,,True,,True,,,,,,True,,,,,True,True,,,True,,,True,,,,,,,,,,,
2505,litomerice,"rodinne-domy
",Cihlová,Po rekonstrukci,Samostatný,,Přízemní,1,130,1671.0,1.0,,"Dálkový vodovod, Studna","Dálnice, Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,,BONO reality s.r.o.,826.3636363636364,2567,522.0,20 m2,1.0,Plynovod,1149.0,,,,135.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.7412473,14.1965302,6200000,,,True,,,,True,,,,True,,,,,,True,True,,,,,,True,,,,,True,,,,,,,,,,,
14855,karvina,"rodinne-domy
",Cihlová,Dobrý,V bloku,Klidná část obce,Patrový,3 včetně 1 podzemního,392,353.0,1.0,,Dálkový vodovod,"Vlak, Silnice, Autobus",Třída G - Mimořádně nehospodárná,Částečně,,ROBI real s.r.o.,372.44444444444446,15361,,1,1.0,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7426477,18.6154759,6500000,,,True,,,,,,,,True,,,,,,True,True,,,True,,,,,,,,True,,,,,,,True,True,,,
5504,praha-zapad,"rodinne-domy
",Cihlová,Ve výstavbě,,,Patrový,2,143,264.0,1.0,,Dálkový vodovod,"Dálnice, Silnice, MHD, Autobus",Třída B - Velmi úsporná,,,VALOREM s.r.o.,1649.9333333333334,5675,,,1.0,,,2022.0,,,118.0,,,,,,,,,,,,,,,,,,,,31.12.2022,,,,,,,,50.0312156,14.1987215,12400000,,,,,True,,,,,True,True,,,,,,True,True,,,,,True,,,,,True,,,,,,,,,,,,
8657,pelhrimov,"rodinne-domy
",Cihlová,Ve výstavbě,,Klidná část obce,Patrový,,288,1470.0,,,Dálkový vodovod,"Dálnice, Silnice, Autobus",Třída A - Mimořádně úsporná,,,DANYIgroup,2583.7,8949,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5414201,15.3291129,8990000,,,,,,,,True,,,True,,,,,,True,,,,True,,,,,,,,True,,,,,,,True,,,,
13990,kromeriz,"chaty
",Cihlová,Dobrý,,Klidná část obce,Přízemní,,54,507.0,1.0,,Dálkový vodovod,"Silnice, Autobus",Třída G - Mimořádně nehospodárná,,,OKNO NEMOVITOSTÍ,1858.176470588236,14460,322.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,49.3529159,17.5776633,1900000,,,,True,,,,,,,,,,,True,,True,,,,True,,,,,,,True,,,,,,,,,,,,
7654,pisek,"rodinne-domy
",Smíšená,Velmi dobrý,Samostatný,Klidná část obce,Patrový,3 včetně 1 podzemního,200,1031.0,6.0,2020.0,"Místní zdroj, Dálkový vodovod","Silnice, Autobus",Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,1,0.0,M&M reality,1244.8181818181818,7923,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5179691,14.2778034,8550000,,,,True,,True,,,True,,,True,,,,,True,True,,,True,,,,,,,,,True,,,,,,,,,,
870,plzen-sever,"rodinne-domy
",Cihlová,Před rekonstrukcí,Samostatný,Klidná část obce,Přízemní,1,88,344.0,,,Dálkový vodovod,"Vlak, Dálnice, Autobus",Třída G - Mimořádně nehospodárná,,,Mixreality,1222.642857142857,885,117.0,,1.0,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6799688,13.2224225,2690000,,True,,,,,,,,,True,,,,,,True,True,,,True,,,,,,,True,,,,,,,,True,,,,
6643,praha-8,"rodinne-domy
",Cihlová,Novostavba,Řadový,,Patrový,2,159,368.0,,,,,Třída B - Velmi úsporná,,,MS-INVEST a.s.,1095.4,6864,159.0,,1.0,,368.0,,,,159.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.1410336,14.4742309,20790000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
8012,strakonice,"pamatky-jine
",Cihlová,Velmi dobrý,Samostatný,,Patrový,3,611,3470.0,10.0,,Místní zdroj,"Silnice, Autobus",Třída G - Mimořádně nehospodárná,1,0.0,"Broker Consulting, a.s.",4168.0,8289,1445.0,,,,,,,,1016.0,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,49.473411,13.95979,23000000,,,,,,True,,,,,True,,,,,,True,True,,,,,True,,,,,,True,,,,,,,,,,,
6403,praha-5,"rodinne-domy
",Cihlová,Před rekonstrukcí,V bloku,,Patrový,,250,120.0,,,Dálkový vodovod,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0,,NEXT REALITY CENTRAL,938.6666666666666,6609,,,,Plynovod,,1975.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.0758311,14.3854614,20000000,,,True,,,,,,,,True,,,,,,True,,,,True,,,,,,,,True,,,,,,,,,,,
2604,decin,"rodinne-domy
",Cihlová,Po rekonstrukci,Samostatný,Klidná část obce,Patrový,3,172,1251.0,3.0,,Dálkový vodovod,"Silnice, MHD, Autobus",Třída G - Mimořádně nehospodárná,1,,"4fin Reality Better together, a.s.",1286.4,2668,,,,Plynovod,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7665941,14.1182136,7700000,,,True,,,,,,,,True,,,,,,True,,,,,True,True,True,,True,,,True,,,True,,,,True,True,True,True,
957,plzen-sever,"rodinne-domy
",Cihlová,Dobrý,Samostatný,,Přízemní,1,120,1739.0,3.0,,,,Třída G - Mimořádně nehospodárná,,,Dumrealit.cz Diplomat,2456.214285714286,976,250.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0096227,13.5051639,2650000,,,,,True,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
10017,hradec-kralove,"rodinne-domy
",Cihlová,Před rekonstrukcí,Samostatný,Klidná část obce,Přízemní,1,70,1504.0,1.0,,"Místní zdroj, Dálkový vodovod","Dálnice, Autobus",Třída G - Mimořádně nehospodárná,1,,Slunicko Reality,2120.5,10342,925.0,,,Plynovod,579.0,,,,,,,1.0,,2000,,,,,,,,,,,,,,,,,,,,,,,50.2017924,15.6414167,4520000,True,,,True,,,,,,,True,True,,,,,True,True,,,True,,,,,,,True,,,,,,,,,,,,
8106,tabor,"rodinne-domy
",Smíšená,Velmi dobrý,Samostatný,,Patrový,3,459,329.0,1.0,,Dálkový vodovod,"Vlak, Dálnice, MHD, Autobus",Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,1.0,Bioreality s.r.o.,403.3333333333333,8385,202.0,83 m2,,,95.0,,,,495.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.4151541,14.6575127,22200000,,True,,,,,,,,,True,,,,,,,True,,,,True,True,True,,,,,True,,,,,,,,,,,
7660,pisek,"rodinne-domy
",Smíšená,Velmi dobrý,Samostatný,,Patrový,2,134,966.0,2.0,,Studna,,Třída G - Mimořádně nehospodárná,,,Královské reality,1930.076923076923,7929,108.0,,,Plynovod,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3879997,14.3567659,1990000,,,,,True,,,,,,,,,,True,,True,,,,True,,,,,,,True,,,,,,,,,,,,
14341,zlin,"projekty-na-klic
",Dřevěná,Projekt,Samostatný,Klidná část obce,Přízemní,1,80,536.0,,,Dálkový vodovod,"Silnice, Autobus",Třída A - Mimořádně úsporná č. 264/2020 Sb. podle vyhlášky,,,Zděné domky na klíč,1572.1818181818182,14823,100.0,,,,,,,,80.0,"36,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,30.09.2023,,,,,,,,49.1242271,17.6919726,5899000,,,,,,,,,,True,True,,,,,,True,,,,True,,,,,,,,True,,,,,,,,,True,,
7483,jindrichuv-hradec,"rodinne-domy
",Cihlová,Novostavba,Řadový,,Přízemní,,170,267.0,,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,Částečně,,CENTURY 21 Jelen Reality,408.54545454545456,7744,104.0,,,Plynovod,131.0,,,,,"74,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,,,,,,,49.182241,14.847591,6485000,,,True,,,,,,,,True,,,,,,True,,,,True,,,,,,,,True,,,,,,,,,,,
4536,melnik,"rodinne-domy
",Kamenná,Před rekonstrukcí,,,Patrový,,120,351.0,1.0,,,,,,,TONZA REALITY spol. s r.o.,1523.5384615384614,4672,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3722514,14.3981336,1990000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
9789,usti-nad-orlici,"rodinne-domy
",Cihlová,Po rekonstrukci,Samostatný,,Patrový,2,120,583.0,,,Studna,,,,,VATOREAL,2108.5,10112,78.0,,,,505.0,,,,78.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.1073441,16.6241772,4200000,,,,,True,,,,,,,,,True,,,,,True,,True,,,,,,,True,,,,,,,,,,,,
6162,rakovnik,"chalupy
",Cihlová,Dobrý,Samostatný,Klidná část obce,Patrový,22 včetně 1 podzemního,118,337.0,1.0,,"Místní zdroj, Dálkový vodovod","Vlak, Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Částečně,0.0,M&M reality,3309.529411764706,6356,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0559879,13.7363604,2950000,,,,True,,,,,,,,,,True,,,True,,,True,True,,,,,,,True,,,,,,,,,,,,
7428,jindrichuv-hradec,"rodinne-domy
",Smíšená,Před rekonstrukcí,Samostatný,Centrum obce,Přízemní,1,345,611.0,3.0,,Dálkový vodovod,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Částečně,,RE/MAX Atrium,245.9375,7686,611.0,,1.0,Plynovod,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0796341,15.4342015,10000000,,True,,,,,,,,,True,,,,,,,,True,,True,,,,,,,True,,,,,,,,,,,,
4215,kutna-hora,"rodinne-domy
",Cihlová,V rekonstrukci,Řadový,Klidná část obce,Patrový,2,120,1609.0,1.0,,,"Silnice, Autobus",Třída G - Mimořádně nehospodárná,Částečně,,Rehypex,3307.0,4336,150.0,1,,,,,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.835666,15.0286609,3900000,,,,,,,,,,True,,,,,True,,,True,,,True,,,,,,,,True,,,,,,,,,,,
12522,brno-venkov,"rodinne-domy
",Cihlová,Velmi dobrý,Řadový,Klidná část obce,Přízemní,1,129,129.0,,,"Místní zdroj, Dálkový vodovod","Vlak, Dálnice, Silnice, MHD, Autobus",Třída G - Mimořádně nehospodárná,,,Realitní kancelář Lorenc Michael,771.0,12945,82.0,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2971325,16.5379634,5876000,,,True,,,,,,,,True,,,,,,True,,,,True,,,,,,,True,,,,,,,,True,,,,
14002,kromeriz,"projekty-na-klic
",Dřevěná,Projekt,Samostatný,Klidná část obce,Přízemní,1,65,521.0,,,Dálkový vodovod,"Vlak, Dálnice, Silnice, Autobus",Třída A - Mimořádně úsporná č. 264/2020 Sb. podle vyhlášky,,0.0,Zděné domky na klíč,910.0,14472,82.0,,,,,,,,65.0,"37,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,30.11.2023,,,,,,,,49.3305686,17.5935753,5852742,,,,,,,,,,True,True,,,,,,True,,,,True,,,,,,,,True,,,,,,,,,True,,
7769,prachatice,"rodinne-domy
",Cihlová,Velmi dobrý,Samostatný,Okraj obce,Patrový,3 včetně 1 podzemního,303,1272.0,3.0,2020.0,Dálkový vodovod,"Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Částečně,0.0,M&M reality,385.3333333333333,8039,,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1368624,13.729106,4900000,,,,True,,,,,,,,True,,,,,True,True,,,,,,,,True,,True,,,,,,,,,,,,
12531,brno-venkov,"vily
",Cihlová,Velmi dobrý,Samostatný,Klidná část obce,Patrový,,398,708.0,,2008.0,Dálkový vodovod,"Vlak, Dálnice, Silnice, MHD, Autobus",Třída G - Mimořádně nehospodárná,Částečně,,BRAVIS REALITY s.r.o.,1515.7777777777778,12955,185.0,14 m2,,Plynovod,523.0,2008.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2884521,16.5744627,25500000,True,,,True,,,,,,,True,,,,,,True,True,,,,,True,,,,,,True,,,,,,,,,,,
9020,zdar-nad-sazavou,"chaty
",Smíšená,Velmi dobrý,Samostatný,Klidná část obce,Patrový,3 včetně 1 podzemního,932,894.0,4.0,,Místní zdroj,Silnice,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0.0,M&M reality,2147.5714285714284,9320,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5575662,16.3235683,2900000,,,,True,,,,,,,,,,,True,,True,,,,True,,,,,,,True,,,,,,,,,,,,
7184,ceske-budejovice,"chaty
",Dřevěná,Velmi dobrý,Samostatný,Klidná část obce,Patrový,,130,940.0,,,,,,,,PROFINEX.CZ Real Estate,2643.611111111112,7434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0192314,14.4074115,5200000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,True,True,True,True,
13494,prostejov,"rodinne-domy
",Cihlová,Dobrý,Řadový,Okraj obce,Patrový,2,73,130.0,,,,MHD,Třída G - Mimořádně nehospodárná,,,Hanácká realitní kancelář,700.8888888888889,13947,124.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4640119,17.1041634,3536000,,,True,,,,,,,,True,,,,,,,,True,,,,True,,,,,True,,,,,,,,,,,,
12769,hodonin,"rodinne-domy
",Smíšená,Před rekonstrukcí,Řadový,Centrum obce,Přízemní,2,226,240.0,1.0,1996.0,,"Vlak, Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Částečně,,REALITY PRORADOST Martin Šiška,999.8571428571428,13196,240.0,100 m2,1.0,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8995754,17.0242171,4580000,,,True,,,,,,,,,True,,True,,,True,True,,,,True,,,,,,,True,,,,,,,,,,,
12541,brno-venkov,"chalupy
",Cihlová,Dobrý,Rohový,Klidná část obce,Patrový,2 včetně 1 podzemního,110,392.0,,,Dálkový vodovod,,Třída G - Mimořádně nehospodárná,Částečně,,EXPLICIT REALITY,1939.6153846153843,12965,,8 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3606835,13.4411307,4500000,,,,,,,,,True,,,,,True,,,True,True,,,,,True,,True,,,True,,,,,,,,True,True,,,
7349,cesky-krumlov,"rodinne-domy
",Smíšená,Velmi dobrý,Samostatný,Centrum obce,Patrový,2,620,2182.0,15.0,2010.0,Místní zdroj,Silnice,Třída E - Nehospodárná č. 78/2013 Sb. podle vyhlášky,1,0.0,Ardo Reality s.r.o.,3420.4166666666665,7602,340.0,,2.0,,1842.0,,1.0,,620.0,"720,0 kWh/m^2 za rok",Zobrazit průkaz energetické náročnosti budovy,,"2,5 m",,,,,,,,,,,,,,20.0,,,,,,,,,,48.6953048,14.1967653,12990000,,,,,,,True,,,,,,,True,,,True,True,,,True,,,,,,,,True,,,,,,,,,,True,
1798,teplice,"rodinne-domy
",Smíšená,Dobrý,Samostatný,,Patrový,3,157,581.0,1.0,,Dálkový vodovod,"Vlak, Silnice, MHD, Autobus",Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,Částečně,,Pavel Kuchynka Reality,1338.111111111111,1831,153.0,1,1.0,Plynovod,455.0,,,,200.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.6758097,13.7881337,4690000,True,,,,,,,,,,True,,,,,,True,True,,,True,,,,,,,,True,,,,,,,,,,,
14998,karvina,"zemedelske-usedlosti
",Smíšená,Dobrý,Samostatný,Klidná část obce,Patrový,2,240,17339.0,,,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,,Realitní kancelář STING,1019.5555555555557,15516,897.0,,,,,1948.0,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.74429245,18.62084445574687,4490000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
9350,pardubice,"rodinne-domy
",Dřevěná,Ve výstavbě,Samostatný,Klidná část obce,Patrový,2,107,650.0,,,,,Třída A - Mimořádně úsporná č. 264/2020 Sb. podle vyhlášky,0,,RE/MAX Magnum,1738.8461538461538,9663,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.051419,15.4101738,6230000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,True,,
1405,klatovy,"rodinne-domy
",Smíšená,V rekonstrukci,Samostatný,Polosamota,Patrový,2,120,891.0,,,Studna,Autobus,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Částečně,,Euro Reality Plzeň,1937.0,1431,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,49.3305122,13.6522519,4599000,,,,True,,True,,,,,True,,,True,,,True,True,,,,,True,,,,,,,,,,True,,,,,,,
15455,ostrava,"rodinne-domy
",Cihlová,Dobrý,Samostatný,Okraj obce,Přízemní,,228,3666.0,2.0,,Dálkový vodovod,MHD,Třída G - Mimořádně nehospodárná,Částečně,,Reality SváMi s.r.o.,1519.7,15994,228.0,1,,Plynovod,3572.0,,,,198.0,,,,,4166,,,,,,,,,,,,,,,,,,,,,,,49.8320631,18.3190748,14180000,,,,,,,True,True,,,,,,True,,,True,,,,True,,,,,,,,,,,True,,,,True,,,,
12450,brno-venkov,"rodinne-domy
",Cihlová,Velmi dobrý,Řadový,,Patrový,2,200,533.0,,,"Místní zdroj, Dálkový vodovod","Vlak, Dálnice, Silnice, MHD, Autobus",,1,0.0,Bidli,667.5882352941177,12870,240.0,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2977583,16.5446932,11490000,,,True,,,,,,,,True,,,,,,True,True,,,,,True,True,,True,,True,,,,,,,,,,,,
8646,pelhrimov,"rodinne-domy
",Smíšená,Velmi dobrý,Samostatný,Centrum obce,Patrový,,280,303.0,,,,"Vlak, Silnice, MHD, Autobus",Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0,,NEXT REALITY ČESKÉ BUDĚJOVICE,467.7272727272728,8938,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.3719603,14.9687751,6900000,,True,,,,,,,,,,,,,True,,True,,,,True,,,,,,,True,,,,,,,,,,,,
8891,zdar-nad-sazavou,"rodinne-domy
",Cihlová,Velmi dobrý,Samostatný,,Patrový,,150,510.0,3.0,,Studna,,Třída G - Mimořádně nehospodárná,,,CENTURY 21 All Inclusive,2458.428571428572,9188,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5751463,16.3804806,6990000,,True,,,,,,,,,,,,True,,,True,,,,True,,,,,,,True,,,,,,,,,,,,
