,district,HouseType,Building,Object status,Location of the house,Object location,House type,The floor,Usable area,Land area,Parking,Year of reconstruction,Water,Transport,Energy efficiency of the building,Equipment,Lift,companyName,proximityIndex,Index,Built-up area,Store,Garage,Gas,Garden area,Year of approval,Swimming pool,Cena,Floor area,Indicator of energy efficiency of the building,Certificate of energy performance of the building,Barrier-free,Ceiling height,Housing costs,Number of flats,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,The date of the 1st inspection,The date of the 2nd inspection,Auction decree,Expert opinion.1,Pool area,Condition,Date of completion of construction,Soil construction,Sale start date,Inspection date,Inspection date to,Minimum purchase price,Share size,Number of owners,locationLat,locationLong,price,lokální plynové,heating_unknown,ústřední plynové,lokální tuhá paliva,jiné,lokální elektrické,ústřední tuhá paliva,ústřední elektrické,ústřední dálkové,podlahové,veřejná kanalizace,jímka,čov pro celý objekt,septik,garbage_unknown,trativod,230v,400v,electricity_unknown,120v,telecommunication_unknown,telefon,internet,kabelové rozvody,satelit,kabelová televize,ostatní,communication_unknown,asfaltová,neupravená,dlážděná,betonová,zpevněná,šotolina,štěrková,provize,právního,dph,poplatků,cena k jednání
9846,usti-nad-orlici,"rodinne-domy
",Smíšená,Velmi dobrý,Samostatný,,Patrový,,101,827.0,,,Dálkový vodovod,"Vlak, Silnice, Autobus",Třída G - Mimořádně nehospodárná,,,Ondřej Kolář - vasrealitak.cz,1580.4375,10169,,1,,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0402915,16.7426822,4950000,,,True,,,,,,,,,,,True,,,True,True,,,True,,,,,,,,True,,,,,,,True,True,True,True,
13689,sumperk,"rodinne-domy
",Cihlová,Velmi dobrý,,,Přízemní,,99,366.0,,,Dálkový vodovod,Autobus,Třída G - Mimořádně nehospodárná,,,FORTEX REALITY,1139.2222222222222,14150,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8749964,16.7754155,1660000,,,,,,,True,,,,True,,,,,,True,True,,,,,,,True,,,,True,,,,,,,,,,,
9024,zdar-nad-sazavou,"chaty
",Dřevěná,Dobrý,,,Patrový,,50,40.0,,,,,Třída G - Mimořádně nehospodárná,,,Business Building,1877.1818181818185,9324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4130114,15.9507023,850000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
10560,rychnov-nad-kneznou,"rodinne-domy
",Cihlová,Po rekonstrukci,Samostatný,,Patrový,,658,11507.0,,2007.0,"Místní zdroj, Studna",,Třída G - Mimořádně nehospodárná,Částečně,,"Realitní služby pro náročné - JIŘÍ HANOUSEK REALITY, s.r.o.",2290.692307692308,10899,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2294281,16.2923422,34999000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,True,True,,,
6929,praha-10,"rodinne-domy
",Cihlová,Velmi dobrý,Samostatný,Okraj obce,Patrový,2,231,1328.0,2.0,,"Místní zdroj, Studna","Vlak, Dálnice, Silnice, MHD, Autobus",Třída G - Mimořádně nehospodárná,Částečně,,IREAG,1366.578947368421,7166,146.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,50.0232219,14.5647961,21300000,,,,True,,,,True,,,,,True,,,,True,,,,True,,,,,,,,True,,,,,,,True,,,True,
845,rokycany,"chaty
",Cihlová,Velmi dobrý,Samostatný,Okraj obce,Patrový,2,79,841.0,2.0,,Místní zdroj,"Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,1,0.0,M&M reality,2101.8571428571427,860,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8132973,13.7991163,4200000,,,,True,,True,,,,,,,,True,,,True,,,,True,,,,,,,True,,,,,,,,,,,,
6080,rakovnik,"rodinne-domy
",Smíšená,Velmi dobrý,Rohový,Centrum obce,Přízemní,1,60,176.0,,,Dálkový vodovod,"Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0,,RE/MAX G8 Reality,2744.333333333333,6274,75.0,10 m2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2141395,13.8587408,1750000,,,,,,,,True,,,,True,,True,,,True,,,,,,True,,,,,,True,,,,,,,,,,,
14715,frydek-mistek,"chaty
",Dřevěná,Velmi dobrý,,Polosamota,Patrový,2,75,696.0,,,Studna,,Třída G - Mimořádně nehospodárná,1,,"Slezská realitní agentura Český Těšín,s.r.o.",2780.214285714286,15208,39.0,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6493738,18.59626,2890000,,,,True,,,,,,,,True,,,,,,,True,,True,,,,,,,,,,,,True,,,,,,,
7543,jindrichuv-hradec,"rodinne-domy
",Cihlová,Novostavba,,,Patrový,,107,316.0,,,Dálkový vodovod,,Třída C - Úsporná,,,Flats and Houses Estate s.r.o.,632.0,7807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2651773,14.9238356,4895000,,,,True,,True,,,,,True,,,,,,,,True,,True,,,,,,,True,,,,,,,,,,,,
12043,brno,"rodinne-domy
",Cihlová,Velmi dobrý,Řadový,Klidná část obce,Patrový,,278,401.0,,,,,Třída G - Mimořádně nehospodárná,Částečně,0.0,I.E.T. Reality,816.2352941176471,12442,,,,,,,,,,,,,,Na vyžádání.,,,,,,,,,,,,,,,,,,,,,,,49.2549081,16.4617186,19990000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,True,,,,
